,price,condition,district,max_floor,street,num_rooms,area,num_bathrooms,building_type,floor,ceiling_height
52,62000,0.85,1.0,9,0.85,2,69,2,4,8,2.8
53,110000,1.0,1.0,12,1.0,3,75,1,4,8,2.8
54,41000,0.85,0.4,5,0.4,3,74,1,4,4,2.8
55,175000,0.85,1.0,5,1.0,4,128,1,2,4,2.8
56,85000,0.85,1.0,12,1.0,2,75,1,4,10,2.8
57,200000,1.0,1.0,10,0.95,4,124,2,3,6,3.0
58,150000,0.85,1.0,5,1.0,3,83,1,2,5,2.8
59,220000,0.7,1.0,14,1.0,3,106,1,1,3,3.0
60,55000,0.85,0.7,5,0.7,2,60,1,2,2,3.0
61,270000,0.85,1.0,14,1.0,4,135,2,1,7,3.2
62,84000,0.85,0.7,9,0.8,3,90,1,4,7,2.8
63,43000,1.0,0.5,10,0.4,2,52,1,1,6,2.8
64,37000,0.85,0.4,14,0.5,2,64,1,4,11,2.8
65,45000,1.0,0.4,9,0.4,3,73,1,4,7,2.8
66,50000,1.0,0.5,9,0.45,3,72,2,4,3,2.8
67,37000,1.0,0.7,5,0.75,1,30,1,2,3,2.8
68,41000,0.85,0.4,16,0.35,3,90,1,4,6,2.8
69,55000,1.0,0.7,13,0.65,1,100,1,3,7,2.8
70,57000,1.0,1.0,5,0.85,2,65,1,2,5,2.8
71,45000,1.0,0.5,5,0.45,2,70,1,2,5,2.8
72,105000,1.0,1.0,12,0.9,4,115,2,4,7,2.8
73,85000,1.0,1.0,4,0.95,3,106,2,2,4,3.0
74,95000,1.0,0.6,3,0.55,3,87,1,1,2,3.2
75,150000,1.0,1.0,5,0.85,3,88,1,2,5,3.0
76,42000,1.0,0.4,9,0.4,3,75,1,4,6,2.8
77,51000,1.0,0.5,9,0.4,3,80,1,4,9,2.8
78,125000,0.85,1.0,11,1.0,4,110,1,3,4,2.8
79,87000,1.0,0.5,3,0.4,3,78,1,1,2,3.0
80,230000,1.0,1.0,4,1.0,3,147,2,2,4,3.2
81,80000,1.0,0.7,4,0.75,3,80,1,2,3,2.8
82,62000,1.0,0.4,9,0.45,4,92,1,3,5,2.8
83,84000,0.85,1.0,5,1.0,2,68,1,2,2,3.2
84,35000,0.7,0.4,9,0.45,3,85,2,4,7,2.8
85,130000,0.85,1.0,4,1.0,3,96,1,2,3,3.2
86,63000,0.85,0.6,9,0.52,4,93,1,4,3,2.8
87,95000,1.0,1.0,9,1.0,3,92,1,4,1,2.8
88,102000,0.85,1.0,11,1.0,3,87,1,4,9,2.8
89,44000,1.0,0.7,5,0.8,1,36,1,1,3,2.8
90,225000,0.7,1.0,10,1.0,3,115,2,1,5,3.0
91,42000,1.0,0.7,4,0.75,1,38,1,2,4,3.2
92,130000,0.85,1.0,5,1.0,3,71,1,2,4,2.8
93,59000,0.85,0.4,5,0.5,3,75,1,2,1,3.0
94,38000,0.85,0.4,5,0.35,3,74,1,4,2,2.8
95,120000,1.0,1.0,5,1.0,3,103,1,2,4,3.2
96,80000,1.0,0.6,19,0.55,3,65,1,3,15,2.8
97,190000,1.0,1.0,12,1.0,3,100,1,4,5,2.8
98,45000,0.85,0.4,5,0.35,4,108,1,2,1,2.8
99,40800,0.7,1.0,5,0.9,1,39,1,3,3,3.2
100,61500,0.85,0.7,9,0.8,3,99,1,4,9,2.8
101,34000,0.85,0.7,4,0.77,2,44,1,2,1,3.0
102,70000,0.7,1.0,5,0.9,2,56,1,2,3,2.8
103,52000,0.85,0.7,14,0.65,3,78,1,4,10,2.8
104,55000,0.85,0.7,5,0.7,2,57,1,2,4,2.8
105,200000,0.85,1.0,11,1.0,2,75,1,3,11,2.8
106,172000,0.85,1.0,6,1.0,3,100,1,2,5,2.8
107,120000,1.0,0.6,9,0.51,4,118,1,4,2,3.0
108,43000,1.0,0.7,5,0.65,2,43,1,2,2,2.8
109,250000,1.0,1.0,10,1.0,2,100,1,1,10,2.8
110,38800,0.85,0.4,4,0.5,3,74,1,2,3,2.6
111,55000,0.85,0.6,4,0.55,2,54,1,1,1,2.8
112,33000,0.7,0.4,9,0.4,3,75,1,4,1,2.8
113,130000,1.0,1.0,5,1.0,3,70,1,2,2,2.8
114,52000,1.0,0.7,16,0.7,2,60,1,3,7,2.8
115,58000,0.85,0.7,5,0.75,3,85,1,2,5,2.8
116,70000,0.85,0.7,5,0.7,4,136,1,2,4,3.0
117,73000,1.0,0.4,4,0.3,4,98,1,2,1,2.8
118,80000,1.0,1.0,4,0.85,3,73,1,2,1,3.2
119,58000,0.85,0.7,5,0.75,1,43,1,2,2,2.8
120,62000,1.0,1.0,14,0.9,2,57,1,1,10,3.0
121,42000,0.85,0.7,5,0.75,3,60,1,2,4,2.8
122,350000,1.0,1.0,10,1.0,2,104,2,3,8,3.0
123,42000,1.0,1.0,10,0.8,2,48,1,4,1,2.8
124,126000,0.85,1.0,10,1.0,3,100,2,4,5,2.8
125,99000,1.0,1.0,14,0.9,3,103,2,1,5,2.8
126,118000,1.0,1.0,13,1.0,2,64,2,1,13,3.0
127,66000,0.85,0.7,11,0.75,1,66,1,3,7,2.8
128,72000,1.0,0.7,9,0.75,3,76,1,2,9,2.8
129,55000,0.85,1.0,16,0.85,3,94,1,4,16,2.8
130,185000,0.7,1.0,14,1.0,3,115,1,1,14,3.0
131,55000,0.85,0.6,5,0.52,3,76,1,2,2,2.8
132,53000,1.0,1.0,10,1.0,1,43,1,4,2,2.8
133,60000,1.0,0.7,16,0.7,2,50,1,4,4,2.8
134,53000,0.7,1.0,10,0.85,2,54,1,4,6,2.8
135,33000,1.0,0.4,14,0.42,1,48,1,1,14,3.0
136,90000,0.7,1.0,9,1.0,3,90,1,4,1,2.8
137,63000,0.85,0.7,5,0.75,3,81,1,2,4,2.8
138,33000,0.85,0.4,10,0.4,2,63,1,4,4,2.8
139,59000,0.85,0.7,10,0.77,3,79,1,4,7,2.8
140,74000,1.0,0.5,14,0.4,2,85,1,1,4,3.0
141,29000,1.0,0.4,12,0.5,1,35,1,1,2,2.8
142,65000,0.7,0.4,4,0.45,3,96,2,1,1,3.0
143,58000,0.85,1.0,9,0.8,2,77,1,1,2,2.8
144,83000,1.0,0.7,15,0.65,3,80,1,1,14,3.0
145,165000,0.85,0.8,4,0.8,3,124,2,3,3,3.0
146,91000,0.85,1.0,11,1.0,2,69,1,4,4,2.8
147,60000,1.0,0.4,5,0.5,3,106,1,2,4,2.8
148,130000,0.85,1.0,4,1.0,2,58,1,2,2,2.8
149,105000,1.0,1.0,10,0.9,3,100,1,4,7,2.8
150,78000,0.7,0.7,13,0.75,3,70,1,1,12,3.0
151,45000,0.85,0.5,9,0.4,3,83,1,4,6,2.8
152,53000,0.85,0.4,5,0.45,4,88,1,4,5,2.6
153,190000,0.85,1.0,5,1.0,3,87,1,2,3,3.0
154,83000,0.7,0.7,7,0.75,3,105,1,2,6,2.8
155,32000,0.85,0.5,5,0.45,2,55,1,4,4,3.0
156,39000,1.0,0.5,9,0.5,2,46,1,4,3,2.8
157,105000,1.0,1.0,14,0.9,4,106,2,1,14,3.0
158,98000,1.0,1.0,10,0.9,2,71,1,4,2,2.8
159,88000,1.0,0.6,11,0.45,4,107,1,3,4,2.8
160,75000,1.0,0.4,5,0.55,3,110,2,2,3,2.8
161,55000,1.0,0.4,9,0.45,3,75,1,4,6,2.8
162,51000,1.0,0.5,14,0.4,2,72,1,1,12,2.8
163,37000,0.85,0.4,5,0.35,2,62,1,4,1,2.8
164,85000,1.0,0.7,5,0.7,3,87,1,2,1,2.8
165,58000,1.0,0.6,14,0.45,3,83,1,4,6,3.0
166,81000,0.85,0.5,14,0.4,3,104,2,1,8,2.8
167,70000,1.0,0.4,9,0.4,3,79,1,4,9,2.8
168,153000,0.85,1.0,5,1.0,3,92,1,2,3,3.2
169,70000,1.0,0.4,9,0.45,3,114,1,4,1,2.8
170,65000,0.85,0.7,5,0.7,2,65,1,2,2,3.2
171,44000,1.0,0.4,5,0.35,3,74,1,2,2,3.0
172,130000,1.0,0.7,17,0.7,3,107,2,1,15,3.0
173,31000,0.85,0.7,9,0.65,1,42,1,3,8,2.8
174,33000,1.0,0.5,9,0.4,1,46,1,4,9,2.8
175,150000,0.85,1.0,5,1.0,2,75,1,2,2,3.0
176,61000,1.0,1.0,5,0.85,2,58,1,2,1,2.8
177,70000,0.85,1.0,5,1.0,2,72,1,2,3,2.8
178,41000,1.0,0.4,5,0.4,2,57,1,2,4,2.8
179,57000,0.85,0.7,9,0.7,3,82,1,4,5,2.8
180,105000,1.0,1.0,14,0.9,4,111,2,1,2,3.0
181,95000,0.85,1.0,4,0.9,3,100,2,2,4,3.0
182,80000,1.0,0.7,5,0.7,3,78,1,2,4,2.8
183,63999,1.0,0.7,5,0.75,3,69,1,2,5,2.8
184,75000,1.0,0.5,5,0.6,3,77,1,2,5,2.8
185,115000,0.7,1.0,8,1.0,3,100,1,1,4,3.0
186,95000,0.7,1.0,14,0.8,3,119,2,1,6,3.0
187,150000,0.85,0.7,16,0.75,3,100,1,1,9,3.0
188,165000,1.0,0.7,16,0.75,3,103,1,1,13,3.0
189,42000,0.7,1.0,9,0.85,1,45,1,1,2,2.8
190,75000,0.85,1.0,10,1.0,2,72,2,4,7,3.0
191,42000,1.0,0.7,5,0.75,1,35,1,2,4,3.0
192,65000,1.0,0.7,5,0.75,2,60,1,2,5,3.0
193,70000,1.0,0.4,10,0.55,3,90,1,4,4,2.8
194,86000,1.0,0.7,5,0.75,3,86,2,2,1,2.8
195,71000,1.0,1.0,5,1.0,2,61,1,2,2,3.2
196,120000,1.0,1.0,6,1.0,3,87,2,2,6,2.8
197,42000,0.85,1.0,9,0.85,3,75,1,4,2,2.8
198,210000,1.0,1.0,6,0.9,4,115,2,1,3,2.8
199,85000,1.0,0.7,5,0.75,3,100,1,2,5,2.8
200,111000,0.85,1.0,16,0.75,3,84,1,3,4,2.8
201,110000,1.0,1.0,4,0.8,3,78,2,2,3,3.0
202,135000,1.0,0.6,16,0.55,3,90,2,1,14,3.0
203,82000,1.0,0.7,13,0.75,3,70,1,1,13,3.0
204,65000,0.85,1.0,4,0.85,3,87,1,2,4,3.2
205,170000,1.0,0.7,13,0.65,4,130,2,3,3,3.0
206,65000,1.0,1.0,10,1.0,2,46,1,4,8,2.8
207,90000,1.0,1.0,5,1.0,3,72,1,2,3,2.8
208,54000,0.7,1.0,18,1.0,1,42,1,1,6,3.0
209,165000,1.0,1.0,11,1.0,3,91,1,1,4,3.0
210,71000,0.85,0.7,5,0.7,3,97,1,2,4,2.8
211,75000,1.0,0.7,6,0.7,3,76,2,1,1,3.0
212,53000,0.85,0.6,16,0.51,3,95,1,4,4,2.8
213,29000,1.0,0.5,9,0.4,1,54,1,4,5,2.8
214,93000,0.7,0.7,16,0.75,4,120,2,4,4,2.8
215,154000,0.7,0.7,18,0.8,3,118,2,1,11,3.2
216,159000,0.85,1.0,4,1.0,3,82,1,3,1,2.8
217,115000,1.0,0.7,8,0.75,3,97,1,2,4,2.8
218,100000,0.85,0.7,5,0.75,4,103,1,2,3,2.8
219,41000,1.0,0.7,5,0.7,2,46,1,2,5,2.8
220,78000,1.0,1.0,9,0.9,2,70,1,4,4,3.0
221,55000,1.0,1.0,14,1.0,1,40,1,4,6,3.0
222,79000,0.85,0.7,12,0.7,3,91,1,4,9,2.8
223,50000,0.85,0.7,13,0.7,3,75,1,4,8,2.8
224,178200,0.7,1.0,10,1.0,3,132,1,1,10,3.0
225,52000,1.0,0.4,4,0.3,4,75,1,2,3,2.8
226,60000,0.7,0.5,3,0.4,3,86,2,1,1,3.0
227,155000,1.0,1.0,6,1.0,3,100,1,2,6,3.2
228,77000,0.85,0.7,16,0.8,3,97,1,3,7,2.8
229,38000,0.85,0.7,5,0.75,1,38,1,2,2,2.8
230,65000,1.0,1.0,12,0.9,2,51,1,3,12,2.8
231,49000,0.85,1.0,7,0.7,3,58,1,4,4,2.8
232,98000,1.0,1.0,4,1.0,4,92,1,2,1,3.2
233,155000,1.0,1.0,5,1.0,3,109,1,2,3,3.0
234,50000,0.85,0.4,5,0.45,3,80,1,2,2,2.8
235,180000,1.0,0.7,13,0.75,3,136,1,1,10,3.0
236,50000,0.85,0.7,14,0.7,3,80,3,4,4,2.8
237,180000,1.0,1.0,5,0.85,3,130,1,2,3,3.2
238,58000,1.0,0.7,5,0.75,2,57,1,2,5,2.8
239,66500,1.0,0.7,5,0.7,2,58,1,2,4,2.8
240,60000,0.85,1.0,16,0.8,1,49,1,4,14,2.8
241,119000,1.0,0.7,16,0.75,3,100,2,1,9,3.0
242,40000,1.0,0.7,8,0.77,2,48,1,2,7,2.8
243,110000,1.0,1.0,5,1.0,3,102,1,2,5,3.2
244,77000,1.0,1.0,11,0.9,2,46,1,4,11,2.8
245,128000,0.85,1.0,10,0.75,3,125,1,1,8,2.8
246,44000,0.85,0.4,12,0.45,3,88,1,1,3,2.8
247,70000,1.0,0.7,5,0.75,3,90,1,2,3,3.0
248,56000,1.0,0.6,11,0.55,2,42,1,1,3,3.0
249,37000,0.85,0.4,14,0.45,3,83,1,4,1,2.8
250,48000,1.0,1.0,4,0.85,2,41,1,2,2,2.8
251,37000,1.0,0.4,14,0.45,3,87,1,4,14,2.8
252,74000,1.0,1.0,6,1.0,2,60,1,2,6,2.8
253,230000,1.0,1.0,5,1.0,3,98,2,2,2,3.0
254,39000,0.85,0.4,5,0.45,2,58,1,2,5,2.8
255,79000,1.0,0.5,13,0.4,3,104,1,1,8,2.8
256,47000,0.85,0.4,16,0.4,3,90,1,3,9,2.8
257,138000,1.0,0.7,3,0.7,3,97,1,3,2,2.8
258,60000,1.0,0.7,12,0.75,2,72,1,4,3,3.0
259,62000,1.0,0.7,9,0.75,2,73,1,4,3,2.8
260,77000,1.0,1.0,14,0.9,3,77,1,1,6,2.8
261,40000,1.0,0.4,16,0.42,4,96,1,4,14,2.8
262,30000,0.85,0.5,9,0.4,1,47,1,4,5,2.8
263,29000,1.0,0.4,5,0.3,1,30,1,2,2,2.8
264,70000,0.7,0.7,9,0.75,3,81,1,4,8,2.8
265,85000,0.85,1.0,5,0.9,3,105,1,2,3,2.8
266,43000,1.0,0.4,14,0.45,2,65,1,4,9,2.8
267,57000,0.85,0.7,5,0.75,3,73,1,2,4,2.8
268,220000,1.0,1.0,5,1.0,4,145,2,2,1,2.8
269,53000,1.0,0.7,7,0.65,2,47,1,2,4,2.8
270,77000,1.0,1.0,16,0.85,2,78,1,4,8,2.8
271,65000,1.0,0.4,5,0.45,5,105,1,2,1,2.8
272,83000,1.0,0.7,7,0.75,3,75,1,2,2,3.0
273,85000,0.85,1.0,5,1.0,2,68,1,2,4,2.8
274,42000,0.85,0.4,14,0.45,3,83,1,4,3,2.8
275,129000,0.85,0.7,5,0.75,4,114,2,2,3,3.0
276,145000,0.85,1.0,4,1.0,4,110,2,2,4,3.2
277,45000,1.0,0.7,9,0.75,1,42,1,4,4,2.8
278,75000,1.0,1.0,6,1.0,2,60,1,2,1,2.8
279,140000,1.0,0.7,9,0.8,3,147,2,4,3,2.8
280,88000,1.0,1.0,4,0.85,3,86,1,2,4,2.8
281,153000,1.0,0.7,5,0.8,3,122,1,2,4,3.2
282,95000,0.7,1.0,18,0.8,3,112,2,1,12,3.0
283,51000,0.85,0.7,8,0.8,2,44,1,1,5,2.8
284,80000,0.85,1.0,5,1.0,3,70,1,2,4,3.2
285,68000,0.85,0.7,14,0.7,3,76,1,3,7,2.8
286,48000,0.85,0.5,4,0.6,3,63,1,2,2,2.8
287,51000,0.85,0.5,4,0.6,3,75,1,2,4,2.8
288,130000,0.85,1.0,4,1.0,3,96,1,2,3,3.2
289,35000,0.85,0.4,5,0.35,3,67,1,2,1,2.8
290,35000,1.0,1.0,10,0.95,1,44,1,2,1,3.0
291,36000,0.85,0.4,3,0.4,2,66,1,2,3,2.8
292,45000,1.0,0.4,5,0.42,3,75,2,2,1,2.8
293,52000,0.7,0.4,10,0.4,3,104,1,1,3,3.2
294,31000,0.85,0.5,9,0.4,3,85,1,4,6,2.8
295,76000,1.0,0.4,7,0.4,4,110,2,1,7,2.8
296,39000,0.85,1.0,10,0.9,1,41,1,3,10,2.8
297,48000,0.85,0.4,5,0.4,3,82,1,2,4,2.8
298,45000,0.85,1.0,12,0.75,1,80,1,4,5,2.8
299,67000,1.0,0.7,5,0.75,2,60,1,2,5,3.2
300,107250,1.0,1.0,6,1.0,2,65,1,1,3,2.8
301,105000,1.0,0.7,12,0.75,3,85,1,1,8,3.0
302,155000,1.0,0.7,14,0.7,3,100,2,1,4,3.0
303,67000,1.0,0.7,3,0.75,2,75,1,2,1,3.0
304,65000,1.0,0.7,9,0.7,2,67,1,4,4,2.8
305,250000,1.0,1.0,9,1.0,3,125,2,1,8,2.8
306,27600,0.7,0.4,9,0.45,1,46,1,4,4,2.8
307,82000,1.0,1.0,4,0.9,3,80,1,2,3,3.2
308,135000,1.0,0.7,12,0.75,3,104,2,1,6,3.0
309,280000,1.0,1.0,5,1.0,3,110,1,2,2,3.2
310,100000,1.0,0.6,1,0.55,2,72,2,1,1,3.2
311,40000,0.85,0.5,5,0.45,3,75,1,2,4,2.8
312,40000,1.0,0.4,4,0.4,3,68,1,2,4,2.8
313,110000,1.0,1.0,10,0.75,4,92,1,4,8,2.8
314,70000,0.85,0.7,5,0.7,3,80,1,2,2,2.8
315,65000,0.85,0.7,14,0.7,4,105,2,4,10,2.8
316,150000,1.0,1.0,5,1.0,2,65,2,2,2,3.2
317,53000,1.0,0.4,9,0.45,3,93,1,4,1,2.8
318,40000,1.0,0.5,9,0.4,3,80,1,4,6,2.8
319,70000,1.0,1.0,11,0.9,2,53,1,3,11,2.8
320,70000,1.0,0.4,5,0.5,4,100,1,2,4,2.8
321,40000,0.7,0.6,9,0.52,3,74,1,4,8,2.8
322,90000,1.0,0.7,6,0.75,3,90,1,2,4,3.2
323,45000,1.0,0.4,14,0.4,3,89,1,4,4,2.8
324,40000,1.0,1.0,11,0.9,1,39,1,4,11,2.8
325,100000,1.0,1.0,7,1.0,3,75,1,3,2,3.0
326,73000,1.0,0.6,9,0.55,3,80,1,4,1,2.8
327,50000,0.85,0.7,5,0.75,2,60,1,2,4,2.8
328,130000,1.0,0.7,9,0.75,4,140,1,4,6,2.8
329,92000,1.0,0.7,9,0.75,3,106,1,4,6,2.8
330,67000,1.0,1.0,10,0.75,3,92,1,4,5,2.8
331,52000,0.85,0.4,16,0.45,2,75,1,1,7,3.2
332,205000,1.0,1.0,8,1.0,4,141,2,1,7,2.8
333,35000,0.85,1.0,9,0.9,1,42,1,3,9,2.8
334,128000,1.0,1.0,4,1.0,3,125,1,2,2,3.2
335,105000,1.0,0.7,5,0.75,3,115,1,2,2,3.2
336,60000,1.0,1.0,10,0.9,2,75,1,4,10,2.8
337,74000,1.0,0.6,16,0.55,3,96,1,4,7,2.8
338,155000,0.85,1.0,4,1.0,3,74,1,3,2,2.8
339,47000,0.7,0.7,9,0.6,2,63,1,4,7,2.8
340,51000,1.0,0.4,9,0.45,3,82,1,4,8,2.8
341,45000,1.0,0.4,5,0.45,3,76,1,2,5,2.8
342,49000,1.0,0.4,4,0.45,2,55,1,1,1,2.8
343,60000,0.85,1.0,5,0.8,2,67,1,3,2,3.0
344,105000,0.85,1.0,6,0.9,2,71,1,2,3,3.2
345,65000,0.85,0.5,16,0.45,3,90,1,4,16,2.8
346,50000,0.85,0.6,9,0.55,3,105,1,4,4,2.8
347,75000,1.0,1.0,16,0.85,2,78,1,4,8,2.8
348,61000,1.0,1.0,7,0.85,2,53,1,2,1,2.8
349,45000,0.85,0.4,5,0.4,3,77,1,2,4,2.8
350,78000,1.0,1.0,22,0.8,2,60,1,3,9,3.0
351,90000,1.0,0.4,4,0.5,3,98,1,2,2,3.0
352,60000,1.0,1.0,5,1.0,1,50,1,2,2,2.8
353,78000,1.0,1.0,6,0.9,2,71,1,2,2,3.0
354,140000,1.0,0.7,16,0.7,3,114,2,1,14,3.0
355,143000,1.0,1.0,9,1.0,4,98,1,4,2,2.8
356,60000,1.0,0.6,9,0.52,3,75,1,4,4,2.8
357,80000,1.0,0.5,10,0.4,3,94,1,1,4,3.2
358,59000,1.0,1.0,9,0.75,1,67,1,4,8,2.8
359,100000,1.0,1.0,10,0.75,4,92,1,2,8,3.0
360,95000,1.0,1.0,14,0.9,4,118,2,1,14,2.8
361,160000,1.0,0.7,13,0.75,3,90,2,1,5,3.2
362,52000,0.85,0.7,5,0.65,3,90,1,2,1,2.8
363,97000,0.85,1.0,9,0.9,3,72,1,4,2,2.8
364,58000,1.0,0.7,9,0.75,3,78,1,4,7,2.8
365,65000,1.0,1.0,10,1.0,2,42,1,4,8,3.0
366,38000,0.85,0.7,4,0.75,1,42,1,2,2,3.0
367,65000,1.0,0.4,14,0.4,4,82,1,4,1,2.8
368,67000,1.0,0.7,5,0.75,3,62,2,2,5,2.8
369,110000,1.0,0.7,13,0.65,3,87,1,1,3,2.8
370,93000,1.0,1.0,9,1.0,2,67,1,1,9,2.8
371,140000,0.85,1.0,6,1.0,2,72,1,2,3,3.2
372,75000,0.85,0.7,5,0.75,3,78,1,2,3,2.8
373,39000,1.0,0.4,9,0.4,1,45,1,4,2,2.8
374,47000,0.85,0.6,9,0.55,3,96,1,3,3,2.8
375,95000,0.85,1.0,5,1.0,2,78,1,2,3,3.2
376,52000,1.0,0.5,16,0.4,3,85,1,4,10,2.8
377,120000,1.0,0.7,5,0.7,4,127,1,2,2,2.8
378,110000,1.0,1.0,5,0.85,4,100,2,2,3,2.8
379,121000,0.85,1.0,4,0.9,3,92,1,2,3,3.0
380,65000,0.85,0.7,14,0.75,2,67,1,4,4,2.8
381,100000,1.0,1.0,10,0.9,3,105,2,1,4,3.0
382,80000,1.0,1.0,5,1.0,2,52,1,1,1,3.2
383,79000,0.85,0.7,5,0.75,3,89,1,2,3,2.8
384,50000,1.0,0.4,16,0.4,3,78,1,4,8,2.6
385,55000,1.0,0.7,16,0.7,3,78,1,4,16,2.8
386,115000,0.85,1.0,4,1.0,3,110,1,2,2,3.0
387,190000,1.0,0.7,14,0.75,4,136,2,1,9,3.0
388,34000,0.85,0.4,16,0.4,3,83,1,4,6,2.8
389,86000,1.0,0.5,5,0.5,3,91,1,2,4,2.8
390,40000,0.85,0.5,4,0.4,3,74,1,4,2,2.8
391,320000,0.85,1.0,14,1.0,3,142,2,1,11,3.0
392,105000,1.0,0.7,18,0.7,2,91,1,3,12,3.0
393,107000,1.0,1.0,7,0.9,3,100,1,1,4,3.0
394,105000,1.0,1.0,2,1.0,3,80,1,2,2,3.2
395,95000,0.85,0.7,4,0.75,3,90,1,2,1,3.0
396,60000,1.0,1.0,10,1.0,2,45,1,4,8,2.8
397,175000,1.0,0.7,13,0.65,4,135,3,1,3,3.0
398,82000,1.0,1.0,9,0.9,3,73,1,4,4,2.8
399,62000,1.0,0.7,5,0.75,2,66,1,2,3,3.0
400,45000,0.85,0.4,9,0.42,3,76,1,4,8,2.8
401,65000,1.0,0.7,5,0.75,3,77,1,2,5,2.8
402,60000,0.85,0.7,4,0.75,2,70,1,2,4,2.8
403,48000,0.85,0.4,14,0.9,2,69,1,4,7,2.8
404,124000,0.7,0.6,15,0.55,3,118,1,1,14,3.2
405,80000,1.0,1.0,5,1.0,2,65,1,2,1,2.8
406,60000,1.0,0.4,5,0.4,4,97,1,2,5,2.8
407,155000,1.0,1.0,5,1.0,3,106,1,2,5,3.0
408,120000,1.0,1.0,4,0.9,2,72,1,2,1,3.0
409,52000,1.0,0.7,5,0.65,2,57,1,2,4,2.8
410,120000,0.7,1.0,12,0.9,3,137,1,1,8,3.0
411,65000,1.0,0.7,9,0.7,4,92,1,4,9,2.8
412,95000,0.7,1.0,16,0.8,3,101,3,1,14,3.0
413,45000,0.85,0.4,9,0.42,3,76,1,4,8,2.8
414,38000,0.85,0.4,16,0.35,3,79,1,3,15,2.8
415,37000,1.0,0.4,4,0.42,2,59,1,2,4,2.6
416,45000,0.85,0.4,5,0.4,4,108,1,2,4,2.8
417,49000,0.85,1.0,7,0.9,2,45,1,2,7,2.8
418,120000,1.0,1.0,5,0.9,3,100,1,2,2,3.2
419,42000,0.85,0.4,9,0.5,2,60,1,4,4,2.8
420,67000,1.0,0.5,5,0.4,3,110,1,2,4,2.8
